[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 1153
[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0008s | Distancia: 1195
[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0004s | Distancia: 1192
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0012s | Distancia: 1469
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0016s | Distancia: 1210
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0008s | Distancia: 996
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0051s | Distancia: 1588
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0081s | Distancia: 1204
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0037s | Distancia: 774
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0102s | Distancia: 1027
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0158s | Distancia: 1116
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0075s | Distancia: 996
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.01 | Tiempo: 0.0005s | Distancia: 1265
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.0001 | Tiempo: 0.0008s | Distancia: 1478
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.1 | Tiempo: 0.0004s | Distancia: 1441
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 1195
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.0001 | Tiempo: 0.0018s | Distancia: 1097
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.1 | Tiempo: 0.0009s | Distancia: 1333
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.01 | Tiempo: 0.0055s | Distancia: 1225
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.0001 | Tiempo: 0.0083s | Distancia: 1554
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.1 | Tiempo: 0.0046s | Distancia: 1028
[SA] n=10 | SA | T0=100, CR=0.995, Tmin=0.01 | Tiempo: 0.0112s | Distancia: 1195
[SA] n=10 | SA | T0=100, CR=0.995, Tmin=0.0001 | Tiempo: 0.0168s | Distancia: 1242
[SA] n=10 | SA | T0=100, CR=0.995, Tmin=0.1 | Tiempo: 0.0084s | Distancia: 996
[SA] n=10 | SA | T0=500, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 806
[SA] n=10 | SA | T0=500, CR=0.9, Tmin=0.0001 | Tiempo: 0.0009s | Distancia: 1473
[SA] n=10 | SA | T0=500, CR=0.9, Tmin=0.1 | Tiempo: 0.0005s | Distancia: 1200
[SA] n=10 | SA | T0=500, CR=0.95, Tmin=0.01 | Tiempo: 0.0012s | Distancia: 1069
[SA] n=10 | SA | T0=500, CR=0.95, Tmin=0.0001 | Tiempo: 0.0018s | Distancia: 1018
[SA] n=10 | SA | T0=500, CR=0.95, Tmin=0.1 | Tiempo: 0.0013s | Distancia: 1110
[SA] n=10 | SA | T0=500, CR=0.99, Tmin=0.01 | Tiempo: 0.0065s | Distancia: 1183
[SA] n=10 | SA | T0=500, CR=0.99, Tmin=0.0001 | Tiempo: 0.0092s | Distancia: 806
[SA] n=10 | SA | T0=500, CR=0.99, Tmin=0.1 | Tiempo: 0.0051s | Distancia: 1210
[SA] n=10 | SA | T0=500, CR=0.995, Tmin=0.01 | Tiempo: 0.0128s | Distancia: 1187
[SA] n=10 | SA | T0=500, CR=0.995, Tmin=0.0001 | Tiempo: 0.0188s | Distancia: 1149
[SA] n=10 | SA | T0=500, CR=0.995, Tmin=0.1 | Tiempo: 0.0101s | Distancia: 1049
[SA] n=10 | SA | T0=1000, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 1249
[SA] n=10 | SA | T0=1000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0009s | Distancia: 1359
[SA] n=10 | SA | T0=1000, CR=0.9, Tmin=0.1 | Tiempo: 0.0005s | Distancia: 1580
[SA] n=10 | SA | T0=1000, CR=0.95, Tmin=0.01 | Tiempo: 0.0020s | Distancia: 1153
[SA] n=10 | SA | T0=1000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0025s | Distancia: 1330
[SA] n=10 | SA | T0=1000, CR=0.95, Tmin=0.1 | Tiempo: 0.0011s | Distancia: 1261
[SA] n=10 | SA | T0=1000, CR=0.99, Tmin=0.01 | Tiempo: 0.0068s | Distancia: 1028
[SA] n=10 | SA | T0=1000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0096s | Distancia: 1096
[SA] n=10 | SA | T0=1000, CR=0.99, Tmin=0.1 | Tiempo: 0.0054s | Distancia: 1145
[SA] n=10 | SA | T0=1000, CR=0.995, Tmin=0.01 | Tiempo: 0.0135s | Distancia: 774
[SA] n=10 | SA | T0=1000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0191s | Distancia: 1018
[SA] n=10 | SA | T0=1000, CR=0.995, Tmin=0.1 | Tiempo: 0.0114s | Distancia: 1163
[SA] n=10 | SA | T0=2000, CR=0.9, Tmin=0.01 | Tiempo: 0.0009s | Distancia: 1016
[SA] n=10 | SA | T0=2000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0010s | Distancia: 1330
[SA] n=10 | SA | T0=2000, CR=0.9, Tmin=0.1 | Tiempo: 0.0005s | Distancia: 1463
[SA] n=10 | SA | T0=2000, CR=0.95, Tmin=0.01 | Tiempo: 0.0014s | Distancia: 1183
[SA] n=10 | SA | T0=2000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0020s | Distancia: 1371
[SA] n=10 | SA | T0=2000, CR=0.95, Tmin=0.1 | Tiempo: 0.0012s | Distancia: 1323
[SA] n=10 | SA | T0=2000, CR=0.99, Tmin=0.01 | Tiempo: 0.0096s | Distancia: 1179
[SA] n=10 | SA | T0=2000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0110s | Distancia: 774
[SA] n=10 | SA | T0=2000, CR=0.99, Tmin=0.1 | Tiempo: 0.0068s | Distancia: 1153
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.01 | Tiempo: 0.0145s | Distancia: 989
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0197s | Distancia: 806
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.1 | Tiempo: 0.0118s | Distancia: 1078
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 2647
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0009s | Distancia: 2294
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0004s | Distancia: 2480
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 2323
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0019s | Distancia: 1397
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0011s | Distancia: 2325
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0063s | Distancia: 1782
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0091s | Distancia: 1884
