[SA] n=10 | SA | T0=2000, CR=0.99, Tmin=0.1 | Tiempo: 0.0059s | Distancia: 1123
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.01 | Tiempo: 0.0150s | Distancia: 1264
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0202s | Distancia: 1222
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.1 | Tiempo: 0.0122s | Distancia: 1230
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 2739
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0011s | Distancia: 2013
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0004s | Distancia: 2351
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 2114
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0017s | Distancia: 1928
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0008s | Distancia: 2346
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0061s | Distancia: 1567
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0091s | Distancia: 1484
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0043s | Distancia: 1782
[SA] n=20 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0119s | Distancia: 1515
[SA] n=20 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0184s | Distancia: 1867
[SA] n=20 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0089s | Distancia: 1416
[SA] n=20 | SA | T0=100, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 2267
[SA] n=20 | SA | T0=100, CR=0.9, Tmin=0.0001 | Tiempo: 0.0010s | Distancia: 2429
[SA] n=20 | SA | T0=100, CR=0.9, Tmin=0.1 | Tiempo: 0.0005s | Distancia: 2561
[SA] n=20 | SA | T0=100, CR=0.95, Tmin=0.01 | Tiempo: 0.0014s | Distancia: 2138
[SA] n=20 | SA | T0=100, CR=0.95, Tmin=0.0001 | Tiempo: 0.0019s | Distancia: 1975
[SA] n=20 | SA | T0=100, CR=0.95, Tmin=0.1 | Tiempo: 0.0009s | Distancia: 2213
[SA] n=20 | SA | T0=100, CR=0.99, Tmin=0.01 | Tiempo: 0.0064s | Distancia: 1770
[SA] n=20 | SA | T0=100, CR=0.99, Tmin=0.0001 | Tiempo: 0.0095s | Distancia: 1451
[SA] n=20 | SA | T0=100, CR=0.99, Tmin=0.1 | Tiempo: 0.0048s | Distancia: 1770
[SA] n=20 | SA | T0=100, CR=0.995, Tmin=0.01 | Tiempo: 0.0126s | Distancia: 1642
[SA] n=20 | SA | T0=100, CR=0.995, Tmin=0.0001 | Tiempo: 0.0202s | Distancia: 1410
[SA] n=20 | SA | T0=100, CR=0.995, Tmin=0.1 | Tiempo: 0.0095s | Distancia: 1821
[SA] n=20 | SA | T0=500, CR=0.9, Tmin=0.01 | Tiempo: 0.0007s | Distancia: 2219
[SA] n=20 | SA | T0=500, CR=0.9, Tmin=0.0001 | Tiempo: 0.0012s | Distancia: 2199
[SA] n=20 | SA | T0=500, CR=0.9, Tmin=0.1 | Tiempo: 0.0006s | Distancia: 2420
[SA] n=20 | SA | T0=500, CR=0.95, Tmin=0.01 | Tiempo: 0.0015s | Distancia: 2169
[SA] n=20 | SA | T0=500, CR=0.95, Tmin=0.0001 | Tiempo: 0.0021s | Distancia: 1931
[SA] n=20 | SA | T0=500, CR=0.95, Tmin=0.1 | Tiempo: 0.0011s | Distancia: 1881
[SA] n=20 | SA | T0=500, CR=0.99, Tmin=0.01 | Tiempo: 0.0073s | Distancia: 1706
[SA] n=20 | SA | T0=500, CR=0.99, Tmin=0.0001 | Tiempo: 0.0109s | Distancia: 1509
[SA] n=20 | SA | T0=500, CR=0.99, Tmin=0.1 | Tiempo: 0.0060s | Distancia: 1769
[SA] n=20 | SA | T0=500, CR=0.995, Tmin=0.01 | Tiempo: 0.0149s | Distancia: 1492
[SA] n=20 | SA | T0=500, CR=0.995, Tmin=0.0001 | Tiempo: 0.0218s | Distancia: 1549
[SA] n=20 | SA | T0=500, CR=0.995, Tmin=0.1 | Tiempo: 0.0119s | Distancia: 1926
[SA] n=20 | SA | T0=1000, CR=0.9, Tmin=0.01 | Tiempo: 0.0008s | Distancia: 2592
[SA] n=20 | SA | T0=1000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0013s | Distancia: 2315
[SA] n=20 | SA | T0=1000, CR=0.9, Tmin=0.1 | Tiempo: 0.0007s | Distancia: 2634
[SA] n=20 | SA | T0=1000, CR=0.95, Tmin=0.01 | Tiempo: 0.0016s | Distancia: 2560
