[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0166s | Distancia: 896
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0168s | Distancia: 1046
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0168s | Distancia: 1063
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.0169s | Distancia: 864
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.0171s | Distancia: 1245
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.0179s | Distancia: 605
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.0171s | Distancia: 1000
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.0171s | Distancia: 1236
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.0172s | Distancia: 998
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.0176s | Distancia: 910
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.0179s | Distancia: 1076
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.0171s | Distancia: 1068
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.0180s | Distancia: 1164
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0394s | Distancia: 1029
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0401s | Distancia: 685
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0395s | Distancia: 800
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0394s | Distancia: 746
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0401s | Distancia: 892
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0390s | Distancia: 944
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0402s | Distancia: 821
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0399s | Distancia: 875
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0403s | Distancia: 812
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0414s | Distancia: 961
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0409s | Distancia: 910
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0404s | Distancia: 1122
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0406s | Distancia: 969
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0420s | Distancia: 801
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0408s | Distancia: 782
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0404s | Distancia: 990
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0408s | Distancia: 892
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.0413s | Distancia: 800
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.0435s | Distancia: 952
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.0429s | Distancia: 837
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.0433s | Distancia: 809
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.0444s | Distancia: 991
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.0429s | Distancia: 1005
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.0435s | Distancia: 956
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.0428s | Distancia: 810
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.0439s | Distancia: 782
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.0434s | Distancia: 960
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0100s | Distancia: 904
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0101s | Distancia: 796
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0097s | Distancia: 1139
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0099s | Distancia: 1122
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0102s | Distancia: 782
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0096s | Distancia: 1148
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0102s | Distancia: 1152
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0107s | Distancia: 966
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0106s | Distancia: 954
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0120s | Distancia: 837
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0113s | Distancia: 1113
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0106s | Distancia: 956
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0160s | Distancia: 942
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0132s | Distancia: 995
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0104s | Distancia: 1099
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0104s | Distancia: 1161
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0104s | Distancia: 685
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.0106s | Distancia: 1192
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.0110s | Distancia: 1225
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.0110s | Distancia: 928
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.0112s | Distancia: 1129
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.0112s | Distancia: 1132
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.0109s | Distancia: 1157
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.0111s | Distancia: 969
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.0114s | Distancia: 952
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.0110s | Distancia: 1136
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.0112s | Distancia: 1027
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0438s | Distancia: 902
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0433s | Distancia: 974
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0442s | Distancia: 893
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0421s | Distancia: 977
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0409s | Distancia: 960
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0456s | Distancia: 996
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0402s | Distancia: 947
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0406s | Distancia: 868
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0419s | Distancia: 995
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0419s | Distancia: 836
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0427s | Distancia: 1003
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0428s | Distancia: 1123
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0415s | Distancia: 978
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0417s | Distancia: 1042
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0413s | Distancia: 1030
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0465s | Distancia: 942
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0409s | Distancia: 977
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.0401s | Distancia: 992
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.0430s | Distancia: 904
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.0438s | Distancia: 894
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.0443s | Distancia: 1012
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.0473s | Distancia: 864
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.0443s | Distancia: 966
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.0434s | Distancia: 859
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.0434s | Distancia: 731
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.0436s | Distancia: 1054
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=200, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.0449s | Distancia: 947
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0983s | Distancia: 893
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.1000s | Distancia: 859
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=500, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.1049s | Distancia: 675
