[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0040s | Distancia: 1641
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0041s | Distancia: 1652
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0041s | Distancia: 1347
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0042s | Distancia: 1210
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0042s | Distancia: 1509
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0057s | Distancia: 1526
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0042s | Distancia: 1522
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0045s | Distancia: 1521
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0044s | Distancia: 1405
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0042s | Distancia: 1368
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0044s | Distancia: 1424
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0042s | Distancia: 1378
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0042s | Distancia: 1583
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0047s | Distancia: 1618
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0042s | Distancia: 1429
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0043s | Distancia: 1295
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=50, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0047s | Distancia: 1551
