[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.01 | Tiempo: 0.0161s | Distancia: 796
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0202s | Distancia: 605
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.1 | Tiempo: 0.0125s | Distancia: 894
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 1907
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0010s | Distancia: 2697
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0005s | Distancia: 3215
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0013s | Distancia: 2045
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0018s | Distancia: 2028
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0009s | Distancia: 2500
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0064s | Distancia: 2234
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0099s | Distancia: 2005
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0043s | Distancia: 2109
[SA] n=20 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0157s | Distancia: 1909
[SA] n=20 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0186s | Distancia: 1631
[SA] n=20 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0089s | Distancia: 2003
[SA] n=20 | SA | T0=100, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 2714
[SA] n=20 | SA | T0=100, CR=0.9, Tmin=0.0001 | Tiempo: 0.0009s | Distancia: 2081
[SA] n=20 | SA | T0=100, CR=0.9, Tmin=0.1 | Tiempo: 0.0004s | Distancia: 2794
[SA] n=20 | SA | T0=100, CR=0.95, Tmin=0.01 | Tiempo: 0.0014s | Distancia: 2343
[SA] n=20 | SA | T0=100, CR=0.95, Tmin=0.0001 | Tiempo: 0.0019s | Distancia: 1979
[SA] n=20 | SA | T0=100, CR=0.95, Tmin=0.1 | Tiempo: 0.0010s | Distancia: 2792
[SA] n=20 | SA | T0=100, CR=0.99, Tmin=0.01 | Tiempo: 0.0067s | Distancia: 1782
[SA] n=20 | SA | T0=100, CR=0.99, Tmin=0.0001 | Tiempo: 0.0102s | Distancia: 1937
[SA] n=20 | SA | T0=100, CR=0.99, Tmin=0.1 | Tiempo: 0.0060s | Distancia: 2176
[SA] n=20 | SA | T0=100, CR=0.995, Tmin=0.01 | Tiempo: 0.0128s | Distancia: 1732
[SA] n=20 | SA | T0=100, CR=0.995, Tmin=0.0001 | Tiempo: 0.0199s | Distancia: 1680
[SA] n=20 | SA | T0=100, CR=0.995, Tmin=0.1 | Tiempo: 0.0108s | Distancia: 1791
[SA] n=20 | SA | T0=500, CR=0.9, Tmin=0.01 | Tiempo: 0.0012s | Distancia: 2423
[SA] n=20 | SA | T0=500, CR=0.9, Tmin=0.0001 | Tiempo: 0.0011s | Distancia: 2051
[SA] n=20 | SA | T0=500, CR=0.9, Tmin=0.1 | Tiempo: 0.0007s | Distancia: 3129
[SA] n=20 | SA | T0=500, CR=0.95, Tmin=0.01 | Tiempo: 0.0014s | Distancia: 2328
[SA] n=20 | SA | T0=500, CR=0.95, Tmin=0.0001 | Tiempo: 0.0025s | Distancia: 1858
[SA] n=20 | SA | T0=500, CR=0.95, Tmin=0.1 | Tiempo: 0.0013s | Distancia: 2413
[SA] n=20 | SA | T0=500, CR=0.99, Tmin=0.01 | Tiempo: 0.0077s | Distancia: 1687
[SA] n=20 | SA | T0=500, CR=0.99, Tmin=0.0001 | Tiempo: 0.0188s | Distancia: 1552
[SA] n=20 | SA | T0=500, CR=0.99, Tmin=0.1 | Tiempo: 0.0062s | Distancia: 2218
[SA] n=20 | SA | T0=500, CR=0.995, Tmin=0.01 | Tiempo: 0.0154s | Distancia: 1655
[SA] n=20 | SA | T0=500, CR=0.995, Tmin=0.0001 | Tiempo: 0.0220s | Distancia: 2012
[SA] n=20 | SA | T0=500, CR=0.995, Tmin=0.1 | Tiempo: 0.0117s | Distancia: 1959
[SA] n=20 | SA | T0=1000, CR=0.9, Tmin=0.01 | Tiempo: 0.0009s | Distancia: 2682
[SA] n=20 | SA | T0=1000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0011s | Distancia: 2235
[SA] n=20 | SA | T0=1000, CR=0.9, Tmin=0.1 | Tiempo: 0.0006s | Distancia: 2728
[SA] n=20 | SA | T0=1000, CR=0.95, Tmin=0.01 | Tiempo: 0.0015s | Distancia: 2338
[SA] n=20 | SA | T0=1000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0023s | Distancia: 2273
[SA] n=20 | SA | T0=1000, CR=0.95, Tmin=0.1 | Tiempo: 0.0012s | Distancia: 2184
[SA] n=20 | SA | T0=1000, CR=0.99, Tmin=0.01 | Tiempo: 0.0078s | Distancia: 1937
[SA] n=20 | SA | T0=1000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0118s | Distancia: 1522
[SA] n=20 | SA | T0=1000, CR=0.99, Tmin=0.1 | Tiempo: 0.0069s | Distancia: 2021
[SA] n=20 | SA | T0=1000, CR=0.995, Tmin=0.01 | Tiempo: 0.0160s | Distancia: 1664
[SA] n=20 | SA | T0=1000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0232s | Distancia: 1812
[SA] n=20 | SA | T0=1000, CR=0.995, Tmin=0.1 | Tiempo: 0.0131s | Distancia: 1809
[SA] n=20 | SA | T0=2000, CR=0.9, Tmin=0.01 | Tiempo: 0.0008s | Distancia: 2043
[SA] n=20 | SA | T0=2000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0011s | Distancia: 2630
[SA] n=20 | SA | T0=2000, CR=0.9, Tmin=0.1 | Tiempo: 0.0010s | Distancia: 1666
[SA] n=20 | SA | T0=2000, CR=0.95, Tmin=0.01 | Tiempo: 0.0016s | Distancia: 2548
[SA] n=20 | SA | T0=2000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0024s | Distancia: 2329
[SA] n=20 | SA | T0=2000, CR=0.95, Tmin=0.1 | Tiempo: 0.0015s | Distancia: 1811
[SA] n=20 | SA | T0=2000, CR=0.99, Tmin=0.01 | Tiempo: 0.0085s | Distancia: 1632
[SA] n=20 | SA | T0=2000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0125s | Distancia: 1676
[SA] n=20 | SA | T0=2000, CR=0.99, Tmin=0.1 | Tiempo: 0.0069s | Distancia: 1825
[SA] n=20 | SA | T0=2000, CR=0.995, Tmin=0.01 | Tiempo: 0.0166s | Distancia: 1204
[SA] n=20 | SA | T0=2000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0287s | Distancia: 1459
[SA] n=20 | SA | T0=2000, CR=0.995, Tmin=0.1 | Tiempo: 0.0141s | Distancia: 1664
[SA] n=50 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0008s | Distancia: 7597
[SA] n=50 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0013s | Distancia: 6152
[SA] n=50 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0006s | Distancia: 8343
[SA] n=50 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0019s | Distancia: 6638
[SA] n=50 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0031s | Distancia: 5370
[SA] n=50 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0023s | Distancia: 6484
[SA] n=50 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0096s | Distancia: 4372
[SA] n=50 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0142s | Distancia: 4249
[SA] n=50 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0075s | Distancia: 4622
[SA] n=50 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0193s | Distancia: 3659
[SA] n=50 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0356s | Distancia: 3426
[SA] n=50 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0122s | Distancia: 4129
[SA] n=50 | SA | T0=100, CR=0.9, Tmin=0.01 | Tiempo: 0.0008s | Distancia: 5754
[SA] n=50 | SA | T0=100, CR=0.9, Tmin=0.0001 | Tiempo: 0.0015s | Distancia: 6819
[SA] n=50 | SA | T0=100, CR=0.9, Tmin=0.1 | Tiempo: 0.0006s | Distancia: 6945
[SA] n=50 | SA | T0=100, CR=0.95, Tmin=0.01 | Tiempo: 0.0017s | Distancia: 6247
[SA] n=50 | SA | T0=100, CR=0.95, Tmin=0.0001 | Tiempo: 0.0029s | Distancia: 6273
[SA] n=50 | SA | T0=100, CR=0.95, Tmin=0.1 | Tiempo: 0.0014s | Distancia: 6605
[SA] n=50 | SA | T0=100, CR=0.99, Tmin=0.01 | Tiempo: 0.0099s | Distancia: 3721
[SA] n=50 | SA | T0=100, CR=0.99, Tmin=0.0001 | Tiempo: 0.0135s | Distancia: 3971
[SA] n=50 | SA | T0=100, CR=0.99, Tmin=0.1 | Tiempo: 0.0070s | Distancia: 3748
[SA] n=50 | SA | T0=100, CR=0.995, Tmin=0.01 | Tiempo: 0.0186s | Distancia: 4040
[SA] n=50 | SA | T0=100, CR=0.995, Tmin=0.0001 | Tiempo: 0.0280s | Distancia: 3650
[SA] n=50 | SA | T0=100, CR=0.995, Tmin=0.1 | Tiempo: 0.0132s | Distancia: 3862
[SA] n=50 | SA | T0=500, CR=0.9, Tmin=0.01 | Tiempo: 0.0010s | Distancia: 7155
[SA] n=50 | SA | T0=500, CR=0.9, Tmin=0.0001 | Tiempo: 0.0015s | Distancia: 7256
[SA] n=50 | SA | T0=500, CR=0.9, Tmin=0.1 | Tiempo: 0.0008s | Distancia: 7367
[SA] n=50 | SA | T0=500, CR=0.95, Tmin=0.01 | Tiempo: 0.0021s | Distancia: 5517
[SA] n=50 | SA | T0=500, CR=0.95, Tmin=0.0001 | Tiempo: 0.0030s | Distancia: 4433
[SA] n=50 | SA | T0=500, CR=0.95, Tmin=0.1 | Tiempo: 0.0016s | Distancia: 6903
[SA] n=50 | SA | T0=500, CR=0.99, Tmin=0.01 | Tiempo: 0.0109s | Distancia: 4272
[SA] n=50 | SA | T0=500, CR=0.99, Tmin=0.0001 | Tiempo: 0.0152s | Distancia: 3620
[SA] n=50 | SA | T0=500, CR=0.99, Tmin=0.1 | Tiempo: 0.0084s | Distancia: 3989
[SA] n=50 | SA | T0=500, CR=0.995, Tmin=0.01 | Tiempo: 0.0224s | Distancia: 3875
[SA] n=50 | SA | T0=500, CR=0.995, Tmin=0.0001 | Tiempo: 0.0315s | Distancia: 3728
[SA] n=50 | SA | T0=500, CR=0.995, Tmin=0.1 | Tiempo: 0.0177s | Distancia: 3746
[SA] n=50 | SA | T0=1000, CR=0.9, Tmin=0.01 | Tiempo: 0.0012s | Distancia: 6549
[SA] n=50 | SA | T0=1000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0017s | Distancia: 5637
[SA] n=50 | SA | T0=1000, CR=0.9, Tmin=0.1 | Tiempo: 0.0012s | Distancia: 7174
[SA] n=50 | SA | T0=1000, CR=0.95, Tmin=0.01 | Tiempo: 0.0025s | Distancia: 5589
[SA] n=50 | SA | T0=1000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0035s | Distancia: 5347
[SA] n=50 | SA | T0=1000, CR=0.95, Tmin=0.1 | Tiempo: 0.0021s | Distancia: 6379
[SA] n=50 | SA | T0=1000, CR=0.99, Tmin=0.01 | Tiempo: 0.0120s | Distancia: 3877
[SA] n=50 | SA | T0=1000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0183s | Distancia: 3852
[SA] n=50 | SA | T0=1000, CR=0.99, Tmin=0.1 | Tiempo: 0.0091s | Distancia: 4300
[SA] n=50 | SA | T0=1000, CR=0.995, Tmin=0.01 | Tiempo: 0.0230s | Distancia: 3507
[SA] n=50 | SA | T0=1000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0320s | Distancia: 3604
[SA] n=50 | SA | T0=1000, CR=0.995, Tmin=0.1 | Tiempo: 0.0176s | Distancia: 4086
[SA] n=50 | SA | T0=2000, CR=0.9, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 7628
[SA] n=50 | SA | T0=2000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0017s | Distancia: 5616
[SA] n=50 | SA | T0=2000, CR=0.9, Tmin=0.1 | Tiempo: 0.0009s | Distancia: 7496
[SA] n=50 | SA | T0=2000, CR=0.95, Tmin=0.01 | Tiempo: 0.0024s | Distancia: 5742
