[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 1558
[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0008s | Distancia: 1522
[SA] n=10 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0004s | Distancia: 1592
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 1330
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0022s | Distancia: 1261
[SA] n=10 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0008s | Distancia: 1397
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0052s | Distancia: 1234
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0080s | Distancia: 1188
[SA] n=10 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0038s | Distancia: 1392
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0103s | Distancia: 1048
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0162s | Distancia: 1307
[SA] n=10 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0081s | Distancia: 1340
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.01 | Tiempo: 0.0009s | Distancia: 1310
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.0001 | Tiempo: 0.0008s | Distancia: 1097
[SA] n=10 | SA | T0=100, CR=0.9, Tmin=0.1 | Tiempo: 0.0004s | Distancia: 1574
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 1306
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.0001 | Tiempo: 0.0017s | Distancia: 1423
[SA] n=10 | SA | T0=100, CR=0.95, Tmin=0.1 | Tiempo: 0.0008s | Distancia: 1296
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.01 | Tiempo: 0.0060s | Distancia: 1307
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.0001 | Tiempo: 0.0084s | Distancia: 1159
[SA] n=10 | SA | T0=100, CR=0.99, Tmin=0.1 | Tiempo: 0.0043s | Distancia: 1289
[SA] n=10 | SA | T0=100, CR=0.995, Tmin=0.01 | Tiempo: 0.0114s | Distancia: 1105
[SA] n=10 | SA | T0=100, CR=0.995, Tmin=0.0001 | Tiempo: 0.0168s | Distancia: 1317
[SA] n=10 | SA | T0=100, CR=0.995, Tmin=0.1 | Tiempo: 0.0083s | Distancia: 1094
[SA] n=10 | SA | T0=500, CR=0.9, Tmin=0.01 | Tiempo: 0.0007s | Distancia: 1377
[SA] n=10 | SA | T0=500, CR=0.9, Tmin=0.0001 | Tiempo: 0.0009s | Distancia: 1570
[SA] n=10 | SA | T0=500, CR=0.9, Tmin=0.1 | Tiempo: 0.0006s | Distancia: 1362
[SA] n=10 | SA | T0=500, CR=0.95, Tmin=0.01 | Tiempo: 0.0013s | Distancia: 1359
[SA] n=10 | SA | T0=500, CR=0.95, Tmin=0.0001 | Tiempo: 0.0018s | Distancia: 1105
[SA] n=10 | SA | T0=500, CR=0.95, Tmin=0.1 | Tiempo: 0.0011s | Distancia: 1042
[SA] n=10 | SA | T0=500, CR=0.99, Tmin=0.01 | Tiempo: 0.0064s | Distancia: 1189
[SA] n=10 | SA | T0=500, CR=0.99, Tmin=0.0001 | Tiempo: 0.0093s | Distancia: 1168
[SA] n=10 | SA | T0=500, CR=0.99, Tmin=0.1 | Tiempo: 0.0054s | Distancia: 1291
[SA] n=10 | SA | T0=500, CR=0.995, Tmin=0.01 | Tiempo: 0.0130s | Distancia: 1094
[SA] n=10 | SA | T0=500, CR=0.995, Tmin=0.0001 | Tiempo: 0.0184s | Distancia: 1312
[SA] n=10 | SA | T0=500, CR=0.995, Tmin=0.1 | Tiempo: 0.0101s | Distancia: 1177
[SA] n=10 | SA | T0=1000, CR=0.9, Tmin=0.01 | Tiempo: 0.0008s | Distancia: 1162
[SA] n=10 | SA | T0=1000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0009s | Distancia: 1372
[SA] n=10 | SA | T0=1000, CR=0.9, Tmin=0.1 | Tiempo: 0.0006s | Distancia: 1289
[SA] n=10 | SA | T0=1000, CR=0.95, Tmin=0.01 | Tiempo: 0.0014s | Distancia: 1429
[SA] n=10 | SA | T0=1000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0019s | Distancia: 1049
[SA] n=10 | SA | T0=1000, CR=0.95, Tmin=0.1 | Tiempo: 0.0010s | Distancia: 1289
[SA] n=10 | SA | T0=1000, CR=0.99, Tmin=0.01 | Tiempo: 0.0068s | Distancia: 1177
[SA] n=10 | SA | T0=1000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0099s | Distancia: 1097
[SA] n=10 | SA | T0=1000, CR=0.99, Tmin=0.1 | Tiempo: 0.0058s | Distancia: 1302
[SA] n=10 | SA | T0=1000, CR=0.995, Tmin=0.01 | Tiempo: 0.0136s | Distancia: 1093
[SA] n=10 | SA | T0=1000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0211s | Distancia: 1043
[SA] n=10 | SA | T0=1000, CR=0.995, Tmin=0.1 | Tiempo: 0.0145s | Distancia: 1301
[SA] n=10 | SA | T0=2000, CR=0.9, Tmin=0.01 | Tiempo: 0.0007s | Distancia: 1221
[SA] n=10 | SA | T0=2000, CR=0.9, Tmin=0.0001 | Tiempo: 0.0010s | Distancia: 1043
[SA] n=10 | SA | T0=2000, CR=0.9, Tmin=0.1 | Tiempo: 0.0007s | Distancia: 1348
[SA] n=10 | SA | T0=2000, CR=0.95, Tmin=0.01 | Tiempo: 0.0015s | Distancia: 1301
[SA] n=10 | SA | T0=2000, CR=0.95, Tmin=0.0001 | Tiempo: 0.0021s | Distancia: 1307
[SA] n=10 | SA | T0=2000, CR=0.95, Tmin=0.1 | Tiempo: 0.0011s | Distancia: 1348
[SA] n=10 | SA | T0=2000, CR=0.99, Tmin=0.01 | Tiempo: 0.0085s | Distancia: 1239
[SA] n=10 | SA | T0=2000, CR=0.99, Tmin=0.0001 | Tiempo: 0.0102s | Distancia: 1374
[SA] n=10 | SA | T0=2000, CR=0.99, Tmin=0.1 | Tiempo: 0.0059s | Distancia: 1306
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.01 | Tiempo: 0.0144s | Distancia: 1097
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.0001 | Tiempo: 0.0204s | Distancia: 1097
[SA] n=10 | SA | T0=2000, CR=0.995, Tmin=0.1 | Tiempo: 0.0116s | Distancia: 1048
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.01 | Tiempo: 0.0006s | Distancia: 3250
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.0001 | Tiempo: 0.0009s | Distancia: 2507
[SA] n=20 | SA | T0=50, CR=0.9, Tmin=0.1 | Tiempo: 0.0004s | Distancia: 2969
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.01 | Tiempo: 0.0011s | Distancia: 2406
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.0001 | Tiempo: 0.0020s | Distancia: 2541
[SA] n=20 | SA | T0=50, CR=0.95, Tmin=0.1 | Tiempo: 0.0009s | Distancia: 2750
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.01 | Tiempo: 0.0059s | Distancia: 2022
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.0001 | Tiempo: 0.0092s | Distancia: 2064
[SA] n=20 | SA | T0=50, CR=0.99, Tmin=0.1 | Tiempo: 0.0049s | Distancia: 2015
[SA] n=20 | SA | T0=50, CR=0.995, Tmin=0.01 | Tiempo: 0.0121s | Distancia: 1388
[SA] n=20 | SA | T0=50, CR=0.995, Tmin=0.0001 | Tiempo: 0.0186s | Distancia: 1647
[SA] n=20 | SA | T0=50, CR=0.995, Tmin=0.1 | Tiempo: 0.0090s | Distancia: 1842
