[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0165s | Distancia: 1317
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0169s | Distancia: 1327
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0166s | Distancia: 1461
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.0166s | Distancia: 1307
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.0175s | Distancia: 1405
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.0178s | Distancia: 1274
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.0182s | Distancia: 1276
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.0174s | Distancia: 1189
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.0178s | Distancia: 1226
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.0178s | Distancia: 1367
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.0180s | Distancia: 1456
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.0174s | Distancia: 1389
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=200, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.0179s | Distancia: 1317
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0412s | Distancia: 1296
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=0.5, lambda=1.5 | Tiempo: 0.0401s | Distancia: 1300
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=0.5, lambda=2.0 | Tiempo: 0.0411s | Distancia: 1328
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=1.0, lambda=1.0 | Tiempo: 0.0404s | Distancia: 1093
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=1.0, lambda=1.5 | Tiempo: 0.0406s | Distancia: 1368
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=1.0, lambda=2.0 | Tiempo: 0.0404s | Distancia: 1367
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=2.0, lambda=1.0 | Tiempo: 0.0410s | Distancia: 1306
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=2.0, lambda=1.5 | Tiempo: 0.0407s | Distancia: 1245
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.1, alpha=2.0, lambda=2.0 | Tiempo: 0.0412s | Distancia: 1261
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=0.5, lambda=1.0 | Tiempo: 0.0413s | Distancia: 1049
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=0.5, lambda=1.5 | Tiempo: 0.0420s | Distancia: 1362
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=0.5, lambda=2.0 | Tiempo: 0.0424s | Distancia: 1274
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=1.0, lambda=1.0 | Tiempo: 0.0429s | Distancia: 1263
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=1.0, lambda=1.5 | Tiempo: 0.0464s | Distancia: 1042
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=1.0, lambda=2.0 | Tiempo: 0.0431s | Distancia: 1363
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=2.0, lambda=1.0 | Tiempo: 0.0438s | Distancia: 1360
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=2.0, lambda=1.5 | Tiempo: 0.0425s | Distancia: 1189
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.25, alpha=2.0, lambda=2.0 | Tiempo: 0.0415s | Distancia: 1263
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=0.5, lambda=1.0 | Tiempo: 0.0451s | Distancia: 1206
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=0.5, lambda=1.5 | Tiempo: 0.0450s | Distancia: 1318
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=0.5, lambda=2.0 | Tiempo: 0.0450s | Distancia: 1268
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=1.0, lambda=1.0 | Tiempo: 0.0454s | Distancia: 1049
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=1.0, lambda=1.5 | Tiempo: 0.0442s | Distancia: 1318
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=1.0, lambda=2.0 | Tiempo: 0.0445s | Distancia: 1378
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=2.0, lambda=1.0 | Tiempo: 0.0452s | Distancia: 1378
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=2.0, lambda=1.5 | Tiempo: 0.0495s | Distancia: 1217
[Cuckoo Search] n=10 | Cuckoo | nests=10, iter=500, pa=0.6, alpha=2.0, lambda=2.0 | Tiempo: 0.0450s | Distancia: 1327
[Cuckoo Search] n=10 | Cuckoo | nests=25, iter=50, pa=0.1, alpha=0.5, lambda=1.0 | Tiempo: 0.0107s | Distancia: 1550
